label,file,class_id
4_x1,Acura TL Type-S 2008,4
4_x0,Acura TL Type-S 2008,4
4_x1,Acura TL Type-S 2008,4
5_x0,Acura TSX Sedan 2012,5
5_x1,Acura TSX Sedan 2012,5
5_x0,Acura TSX Sedan 2012,5
5_x1,Acura TSX Sedan 2012,5
5_x0,Acura TSX Sedan 2012,5
5_x1,Acura TSX Sedan 2012,5
5_x0,Acura TSX Sedan 2012,5
5_x1,Acura TSX Sedan 2012,5
5_x0,Acura TSX Sedan 2012,5
5_x1,Acura TSX Sedan 2012,5
5_x0,Acura TSX Sedan 2012,5
5_x1,Acura TSX Sedan 2012,5
5_x0,Acura TSX Sedan 2012,5
5_x1,Acura TSX Sedan 2012,5
5_x0,Acura TSX Sedan 2012,5
5_x1,Acura TSX Sedan 2012,5
5_x0,Acura TSX Sedan 2012,5
5_x1,Acura TSX Sedan 2012,5
5_x0,Acura TSX Sedan 2012,5
5_x1,Acura TSX Sedan 2012,5
5_x0,Acura TSX Sedan 2012,5
5_x1,Acura TSX Sedan 2012,5
5_x0,Acura TSX Sedan 2012,5
5_x1,Acura TSX Sedan 2012,5
5_x0,Acura TSX Sedan 2012,5
5_x1,Acura TSX Sedan 2012,5
5_x0,Acura TSX Sedan 2012,5
5_x1,Acura TSX Sedan 2012,5
5_x0,Acura TSX Sedan 2012,5
5_x1,Acura TSX Sedan 2012,5
5_x0,Acura TSX Sedan 2012,5
5_x1,Acura TSX Sedan 2012,5
5_x0,Acura TSX Sedan 2012,5
5_x1,Acura TSX Sedan 2012,5
5_x0,Acura TSX Sedan 2012,5
5_x1,Acura TSX Sedan 2012,5
5_x0,Acura TSX Sedan 2012,5
5_x1,Acura TSX Sedan 2012,5
5_x0,Acura TSX Sedan 2012,5
5_x1,Acura TSX Sedan 2012,5
5_x0,Acura TSX Sedan 2012,5
5_x1,Acura TSX Sedan 2012,5
5_x0,Acura TSX Sedan 2012,5
5_x1,Acura TSX Sedan 2012,5
5_x0,Acura TSX Sedan 2012,5
5_x1,Acura TSX Sedan 2012,5
5_x0,Acura TSX Sedan 2012,5
5_x1,Acura TSX Sedan 2012,5
